crash_id,crash_event,crash_type,number_fatalities
1060,20242063,Single,1
1061,20243180,Single,1
1062,20247005,Single,4
1063,20241297,Single,1
1064,20247001,Single,1
1065,20243059,Multiple,1
1066,20242242,Single,1
1067,20245139,Single,1
1068,20242091,Multiple,1
1069,20243077,Single,1
1070,20244038,Single,1
1071,20243136,Multiple,1
1072,20243229,Multiple,1
1073,20243211,Single,1
1074,20245017,Single,1
1075,20241270,Single,1
1076,20241225,Multiple,1
1077,20241084,Multiple,1
1078,20247047,Single,1
1079,20243050,Multiple,1
1080,20243216,Multiple,1
1081,20245027,Single,1
1082,20242190,Multiple,1
1083,20243115,Single,1
1084,20245049,Single,1
1085,20242116,Multiple,1
1086,20241129,Multiple,1
1087,20244076,Single,1
1088,20243141,Multiple,1
1089,20241095,Single,1
1090,20247051,Single,1
1091,20242082,Multiple,1
1092,20241090,Multiple,1
1093,20241113,Single,1
1094,20243258,Single,1
1095,20244053,Multiple,1
1096,20241064,Multiple,1
1097,20243175,Multiple,1
1098,20247048,Single,1
1099,20243183,Multiple,1
1100,20241049,Single,1
1101,20245079,Single,1
1102,20245115,Single,1
1103,20241242,Multiple,1
1104,20241144,Single,1
1105,20243262,Multiple,1
1106,20241001,Multiple,1
1107,20242231,Multiple,1
1108,20241018,Multiple,1
1109,20241105,Single,1
1110,20241282,Single,1
1111,20243204,Multiple,1
1112,20243224,Single,1
1113,20247032,Single,1
1114,20243179,Single,1
1115,20247033,Single,1
1116,20241192,Single,1
1117,20241026,Single,1
1118,20241067,Multiple,1
1119,20242001,Single,1
1120,20245163,Single,1
1121,20243013,Single,1
1122,20241191,Multiple,2
1123,20242031,Multiple,1
1124,20241117,Multiple,2
1125,20246020,Single,1
1126,20241012,Single,1
1127,20245060,Single,1
1128,20242263,Single,1
1129,20242038,Multiple,1
1130,20246005,Single,1
1131,20247008,Single,1
1132,20243140,Single,1
1133,20244030,Single,1
1134,20242061,Single,1
1135,20244036,Single,1
1136,20242134,Single,1
1137,20245033,Single,2
1138,20243060,Single,1
1139,20242002,Single,2
1140,20243166,Single,1
1141,20243057,Single,1
1142,20242203,Single,1
1143,20241214,Multiple,1
1144,20243196,Single,1
1145,20242083,Single,1
1146,20241272,Multiple,1
1147,20243244,Single,1
1148,20241104,Multiple,1
1149,20243182,Multiple,1
1150,20242180,Multiple,1
1151,20242126,Single,1
1152,20245034,Single,1
1153,20241023,Multiple,2
1154,20243065,Single,1
1155,20243083,Single,1
1156,20245099,Single,1
1157,20244070,Multiple,1
1158,20242216,Multiple,1
1159,20243048,Multiple,1
